InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
INV500064,P1010,Protein Shaker,Fitness,3,2025-02-13 11:35:00,352.55,C10661,United Kingdom,1057.65
INV500065,P1025,Kitchen Storage Jars,Home,1,2025-08-04 13:34:00,717.24,C10583,EIRE,717.24
INV500065,P1016,Face Serum,Beauty,4,2025-08-04 13:34:00,874.27,C10583,EIRE,3497.08
INV500065,P1003,Running Shoes,Footwear,1,2025-08-04 13:34:00,2877.68,C10583,EIRE,2877.68
INV500065,P1001,Organic Cotton T-Shirt,Apparel,3,2025-08-04 13:34:00,524.72,C10583,EIRE,1574.16
INV500066,P1022,Dark Chocolate Box,Grocery,4,2025-03-01 15:39:00,501.42,C10445,Netherlands,2005.68
INV500066,P1024,Laptop Sleeve,Accessories,6,2025-03-01 15:39:00,845.6,C10445,Netherlands,5073.6
INV500067,P1028,Gift Wrapping Paper,Stationery,2,2025-08-22 16:23:00,135.86,C10509,United Kingdom,271.72
INV500068,P1013,LED Table Lamp,Home,10,2025-01-07 11:02:00,1081.72,C10046,United Kingdom,10817.2
INV500068,P1030,Sports Socks Pack,Apparel,6,2025-01-07 11:02:00,279.62,C10046,United Kingdom,1677.72
INV500068,P1005,Bluetooth Speaker,Electronics,1,2025-01-07 11:02:00,2211.49,C10046,United Kingdom,2211.49
INV500069,P1012,Notebook Pack,Office,4,2025-06-17 09:35:00,216.16,C10319,United Kingdom,864.64
INV500069,P1007,Ceramic Coffee Mug,Home,3,2025-06-17 09:35:00,304.01,C10319,United Kingdom,912.03
INV500070,P1013,LED Table Lamp,Home,2,2025-01-05 13:00:00,1176.56,C10652,United Kingdom,2353.12
INV500070,P1028,Gift Wrapping Paper,Stationery,6,2025-01-05 13:00:00,170.31,C10652,United Kingdom,1021.86
INV500070,P1024,Laptop Sleeve,Accessories,1,2025-01-05 13:00:00,780.39,C10652,United Kingdom,780.39
INV500070,P1010,Protein Shaker,Fitness,1,2025-01-05 13:00:00,318.97,C10652,United Kingdom,318.97
INV500071,P1025,Kitchen Storage Jars,Home,1,2025-04-30 09:12:00,702.46,C10279,United Kingdom,702.46
INV500072,P1006,Wireless Mouse,Electronics,1,2025-08-26 12:54:00,750.51,C10316,Netherlands,750.51
INV500074,P1026,Smart Watch Strap,Electronics,6,2025-03-07 09:57:00,389.4,C10455,United Kingdom,2336.3999999999996
INV500074,P1011,Desk Organizer,Office,6,2025-03-07 09:57:00,412.63,C10455,United Kingdom,2475.7799999999997
INV500074,P1004,Leather Wallet,Accessories,2,2025-03-07 09:57:00,909.1,C10455,United Kingdom,1818.2
INV500074,P1002,Denim Jacket,Apparel,4,2025-03-07 09:57:00,1727.51,C10455,United Kingdom,6910.04
INV500074,P1015,Luggage Tag Set,Travel,2,2025-03-07 09:57:00,274.23,C10455,United Kingdom,548.46
INV500075,P1009,Yoga Mat,Fitness,4,2025-04-23 08:57:00,1178.68,C10612,United Kingdom,4714.72
INV500075,P1002,Denim Jacket,Apparel,6,2025-04-23 08:57:00,1595.4,C10612,United Kingdom,9572.400000000001
INV500075,P1026,Smart Watch Strap,Electronics,5,2025-04-23 08:57:00,448.59,C10612,United Kingdom,2242.95
INV500075,P1016,Face Serum,Beauty,1,2025-04-23 08:57:00,963.91,C10612,United Kingdom,963.91
INV500076,P1003,Running Shoes,Footwear,1,2025-10-05 12:11:00,2479.2,C10505,United Kingdom,2479.2
INV500076,P1002,Denim Jacket,Apparel,4,2025-10-05 12:11:00,2150.73,C10505,United Kingdom,8602.92
INV500076,P1008,Scented Candle Set,Home,2,2025-10-05 12:11:00,569.86,C10505,United Kingdom,1139.72
INV500077,P1026,Smart Watch Strap,Electronics,2,2025-03-11 10:46:00,454.96,C10331,France,909.92
INV500077,P1016,Face Serum,Beauty,4,2025-03-11 10:46:00,920.84,C10331,France,3683.36
INV500077,P1029,Cotton Bedsheet,Home,1,2025-03-11 10:46:00,1297.22,C10331,France,1297.22
INV500077,P1011,Desk Organizer,Office,10,2025-03-11 10:46:00,500.99,C10331,France,5009.9
INV500077,P1006,Wireless Mouse,Electronics,3,2025-03-11 10:46:00,661.38,C10331,France,1984.1399999999999
INV500078,P1018,Hair Care Kit,Beauty,2,2025-07-31 15:56:00,1129.93,C10171,Portugal,2259.86
INV500078,P1013,LED Table Lamp,Home,1,2025-07-31 15:56:00,1214.22,C10171,Portugal,1214.22
INV500079,P1029,Cotton Bedsheet,Home,1,2025-02-17 13:38:00,1112.53,C10561,United Kingdom,1112.53
INV500079,P1016,Face Serum,Beauty,1,2025-02-17 13:38:00,828.29,C10561,United Kingdom,828.29
INV500079,P1023,Water Bottle,Fitness,2,2025-02-17 13:38:00,583.39,C10561,United Kingdom,1166.78
INV500079,P1001,Organic Cotton T-Shirt,Apparel,1,2025-02-17 13:38:00,461.6,C10561,United Kingdom,461.6
INV500079,P1014,Travel Backpack,Travel,3,2025-02-17 13:38:00,1363.64,C10561,United Kingdom,4090.92
INV500079,P1021,Premium Tea Pack,Grocery,1,2025-02-17 13:38:00,393.98,C10561,United Kingdom,393.98
INV500079,P1006,Wireless Mouse,Electronics,1,2025-02-17 13:38:00,659.69,C10561,United Kingdom,659.69
INV500079,P1020,USB-C Cable,Electronics,4,2025-02-17 13:38:00,193.17,C10561,United Kingdom,772.68
INV500080,P1017,Sunscreen SPF 50,Beauty,12,2025-07-22 22:54:00,435.67,C10081,United Kingdom,5228.04
INV500080,P1019,Phone Stand,Electronics,1,2025-07-22 22:54:00,249.77,C10081,United Kingdom,249.77
INV500080,P1029,Cotton Bedsheet,Home,3,2025-07-22 22:54:00,1214.71,C10081,United Kingdom,3644.13
INV500080,P1026,Smart Watch Strap,Electronics,5,2025-07-22 22:54:00,401.83,C10081,United Kingdom,2009.1499999999999
INV500081,P1019,Phone Stand,Electronics,2,2025-08-01 10:09:00,256.05,C10116,Netherlands,512.1
INV500081,P1004,Leather Wallet,Accessories,1,2025-08-01 10:09:00,911.06,C10116,Netherlands,911.06
INV500082,P1009,Yoga Mat,Fitness,3,2025-06-22 21:50:00,854.5,C10021,France,2563.5
INV500082,P1027,Desk Plant,Home,1,2025-06-22 21:50:00,338.54,C10021,France,338.54
INV500083,P1017,Sunscreen SPF 50,Beauty,2,2025-09-22 21:23:00,433.55,C10778,Spain,867.1
INV500083,P1026,Smart Watch Strap,Electronics,5,2025-09-22 21:23:00,363.02,C10778,Spain,1815.1
INV500083,P1006,Wireless Mouse,Electronics,2,2025-09-22 21:23:00,733.07,C10778,Spain,1466.14
INV500083,P1003,Running Shoes,Footwear,5,2025-09-22 21:23:00,2577.16,C10778,Spain,12885.8
INV500084,P1019,Phone Stand,Electronics,1,2025-01-15 14:03:00,269.01,C10292,France,269.01
INV500085,P1006,Wireless Mouse,Electronics,1,2025-01-05 15:58:00,636.69,C10786,EIRE,636.69
INV500086,P1022,Dark Chocolate Box,Grocery,3,2025-06-28 15:16:00,506.05,C10386,United Kingdom,1518.15
INV500087,P1021,Premium Tea Pack,Grocery,1,2025-05-14 18:45:00,450.32,C10284,United Kingdom,450.32
INV500087,P1010,Protein Shaker,Fitness,2,2025-05-14 18:45:00,323.32,C10284,United Kingdom,646.64
INV500087,P1007,Ceramic Coffee Mug,Home,4,2025-05-14 18:45:00,282.12,C10284,United Kingdom,1128.48
INV500087,P1005,Bluetooth Speaker,Electronics,2,2025-05-14 18:45:00,2040.83,C10284,United Kingdom,4081.66
INV500087,P1017,Sunscreen SPF 50,Beauty,4,2025-05-14 18:45:00,539.45,C10284,United Kingdom,2157.8
INV500087,P1025,Kitchen Storage Jars,Home,1,2025-05-14 18:45:00,719.42,C10284,United Kingdom,719.42
INV500088,P1019,Phone Stand,Electronics,1,2025-03-02 15:03:00,318.45,C10475,United Kingdom,318.45
INV500088,P1020,USB-C Cable,Electronics,2,2025-03-02 15:03:00,233.9,C10475,United Kingdom,467.8
INV500088,P1003,Running Shoes,Footwear,1,2025-03-02 15:03:00,2348.43,C10475,United Kingdom,2348.43
INV500088,P1016,Face Serum,Beauty,4,2025-03-02 15:03:00,923.69,C10475,United Kingdom,3694.76
